evaluation,label
"外形外观：磨砂黑色很好看，设计简约耐看。
屏幕音效：显示效果很好，音质很棒。
拍照效果：徕卡加持，随手一拍都是大片。
运行速度：飞快。
待机时间：用一天问题不大。
其他特色：换了一圈还是小米的最好用，澎湃系统很流畅。",1
手机大小刚刚好。拍照清晰，屏幕音效出色，运行流畅。手机正面侧面颜值都很高，跟苹果差不多，背后照相镜头模组设计个人觉得中规中矩没有太多的亮点,1
很不错啊！儿子工作后，给爸爸妈妈买的礼物，非常棒。一个是粉色纳米皮一个是绿色玻璃，非常漂亮。16+1T版本，非常满意非常满意。,0
"我老公对这个手机很满意。手机包装很好无破损,物流也快,手机外观漂亮,款式好看,质量很好,正品,做工精致,屏幕细腻够大很清晰,色彩饱和度很不错,照相不错,很漂亮,音质也很棒,系统功能强大,运行速度很快,看电影听音乐都很给力, 非常享受,操作简单,内存也足够,性价比蛮高的,而且价格还实惠便宜,很划算,支持,超喜欢。",0
小屏就是舒服，磨砂后盖，手感杠杠的。无敌了简直，澎湃OS，流畅不卡顿，NFC方便滴很，绝了，拍照也好看，颜值在线，性能强劲，就是刚从大屏换过来打游戏不是很舒服。其他都特别棒,1
"一直用的小米手机，
外形外观：近几年的外观越做越好了，系统也升级的很好用了没有之前的卡顿问题了
运行速度：速度好快，屏幕很丝滑，打开软件也很快
待机时间：一天一充就行",0
好看 好用 支持无线充回血速度也很快，续航使用一天下来也可以有二三十的剩余用电，小巧的机身拿着是真舒服 一个小米 一个苹果用起来简直完美,1
非常不错，外观设计精美，卖家服务态度非常好，发货迅速，包装严密，让人倍感安心。总的来说，这是一次非常愉快的购物体验，强烈推荐给需要的朋友们！,0
"外形外观：十分好看，手感不错
屏幕音效：很好
拍照效果：非常棒
运行速度：快
待机时间：长
其他特色：很不错的手机",0
市面上少有的小屏旗舰直屏手机，性能配置强劲，摄像头拍照优秀，综合比肩苹果15pro，还支持carwith车载互联投屏，平替carplay，值得推荐！,0
"上一台红米k20pro用了五年忍不住换了小米14。
小米14除了挖孔屏和没有耳机孔其他都很好。
系统很流畅，拍照很容易出片不容易糊，前置摄像头也很清晰。希望能用久一点。",1
从店里看完就在京东买了，不仅返京豆，快递还又快又好，真的很喜欢京东。买了黑色，大气上档次，手感还好，好喜欢小米。,0
